patch;patch_features;nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;target
2609;2608;tristana;Tristana;45.06;9.13;1.21;10.34;0.0;0.0;0;0.0;0
2609;2608;trundle;Trundle;47.09;3.49;0.28;3.77;0.0;0.0;0;0.0;0
2609;2608;tryndamere;Tryndamere;48.78;6.59;1.79;8.38;0.0;0.0;0;0.0;0
2609;2608;twistedfate;Twisted Fate;47.55;10.72;1.0;11.72;0.0;0.0;0;0.0;0
2609;2608;twitch;Twitch;45.33;11.55;7.62;19.17;0.0;0.0;0;0.0;0
2609;2608;udyr;Udyr;46.59;5.25;0.98;6.23;0.0;0.0;0;0.0;0
2609;2608;urgot;Urgot;45.96;5.71;0.85;6.56;0.0;0.0;0;0.0;0
2609;2608;varus;Varus;44.64;11.3;3.24;14.54;0.0;0.0;0;0.0;0
2609;2608;vayne;Vayne;49.04;22.83;12.89;35.72;0.0;0.0;0;0.0;0
2609;2608;veigar;Veigar;46.5;11.52;1.39;12.91;0.0;0.0;0;0.0;0
2609;2608;velkoz;Vel'Koz;48.49;9.67;1.3;10.97;0.0;0.0;0;0.0;0
2609;2608;vex;Vex;45.21;6.17;3.56;9.73;0.0;0.0;0;0.0;0
2609;2608;vi;Vi;48.63;10.01;1.42;11.43;0.0;0.0;0;0.0;0
2609;2608;viego;Viego;47.12;20.96;10.69;31.65;0.0;0.0;0;0.0;0
2609;2608;viktor;Viktor;51.59;15.03;4.29;19.32;0.0;0.0;0;0.0;0
2609;2608;vladimir;Vladimir;45.98;11.69;4.92;16.61;0.0;0.0;0;0.0;0
2609;2608;volibear;Volibear;47.94;10.09;2.51;12.6;0.0;0.0;0;0.0;0
2609;2608;warwick;Warwick;45.31;6.31;0.96;7.27;0.0;0.0;0;0.0;2
2609;2608;wukong;Wukong;49.09;6.17;0.52;6.69;0.0;0.0;0;0.0;0
2609;2608;xayah;Xayah;40.7;7.8;0.71;8.51;0.0;0.0;0;0.0;0
2609;2608;xerath;Xerath;44.25;18.38;7.26;25.64;0.0;0.0;0;0.0;0
2609;2608;xinzhao;Xin Zhao;47.35;11.87;1.95;13.82;0.0;0.0;0;0.0;0
