nome_join;Name;Win %;Pick %;Ban %;patch
jinx;Jinx;45.34;21.9;3.16;2609
kaisa;Kai'Sa;44.64;29.46;2.44;2609
kalista;Kalista;41.13;3.14;0.25;2609
karma;Karma;43.97;21.46;9.53;2609
karthus;Karthus;49.94;5.52;1.69;2609
kassadin;Kassadin;44.15;5.08;2.99;2609
katarina;Katarina;46.49;15.79;10.95;2609
kayle;Kayle;48.53;7.63;3.73;2609
kayn;Kayn;46.63;14.94;3.85;2609
kennen;Kennen;44.85;5.48;2.02;2609
khazix;Kha'Zix;38.75;11.45;4.12;2609
kindred;Kindred;47.44;5.2;1.81;2609
kled;Kled;47.85;3.53;0.74;2609
kogmaw;Kog'Maw;46.86;3.87;0.38;2609
ksante;K'Sante;45.0;8.18;2.23;2609
leblanc;LeBlanc;43.7;9.47;15.18;2609
leesin;Lee Sin;45.99;26.13;14.59;2609
leona;Leona;39.62;12.08;5.59;2609
lillia;Lillia;40.15;6.89;2.03;2609
lissandra;Lissandra;46.8;10.84;3.01;2609
lucian;Lucian;42.94;18.18;3.24;2609
lulu;Lulu;43.39;20.17;9.87;2609
lux;Lux;43.29;19.73;2.93;2609
malphite;Malphite;46.46;16.6;19.47;2609
malzahar;Malzahar;45.58;16.71;10.17;2609
maokai;Maokai;50.72;4.52;0.16;2609
masteryi;Master Yi;49.27;14.75;14.36;2609
mel;Mel;39.0;11.65;27.49;2609
milio;Milio;39.06;15.32;5.58;2609
missfortune;Miss Fortune;39.73;12.62;1.01;2609
mordekaiser;Mordekaiser;48.55;11.71;7.08;2609
morgana;Morgana;49.5;9.52;14.84;2609
naafiri;Naafiri;49.04;23.69;33.93;2609
nami;Nami;42.98;29.69;3.74;2609
nasus;Nasus;47.35;7.7;3.86;2609
nautilus;Nautilus;46.73;18.75;13.76;2609
neeko;Neeko;50.0;5.02;1.14;2609
nidalee;Nidalee;46.19;5.18;1.12;2609
nilah;Nilah;36.33;2.53;2.55;2609
nocturne;Nocturne;51.31;15.41;13.8;2609
nunu;Nunu & Willump;44.57;4.68;0.57;2609
olaf;Olaf;47.68;5.85;2.69;2609
orianna;Orianna;44.82;7.93;1.1;2609
ornn;Ornn;48.51;9.84;0.8;2609
pantheon;Pantheon;49.54;14.82;1.61;2609
poppy;Poppy;47.61;6.33;2.84;2609
pyke;Pyke;49.37;12.66;25.7;2609
qiyana;Qiyana;50.46;8.89;2.47;2609
quinn;Quinn;46.69;2.96;0.77;2609
rakan;Rakan;44.31;6.12;0.3;2609
rammus;Rammus;47.93;3.41;3.23;2609
reksai;Rek'Sai;49.95;5.23;1.81;2609
rell;Rell;50.96;6.71;0.94;2609
renata;Renata Glasc;32.31;1.82;0.13;2609
renekton;Renekton;40.84;11.68;4.47;2609
rengar;Rengar;47.45;9.63;9.78;2609
riven;Riven;49.51;8.41;2.78;2609
rumble;Rumble;48.25;5.97;1.67;2609
ryze;Ryze;44.24;8.09;0.83;2609
samira;Samira;43.78;9.69;6.46;2609
sejuani;Sejuani;46.11;4.05;0.15;2609
senna;Senna;42.87;19.12;1.74;2609
seraphine;Seraphine;45.54;24.37;4.48;2609
sett;Sett;48.54;10.24;2.32;2609
shaco;Shaco;42.43;12.41;16.38;2609
shen;Shen;51.75;10.19;1.48;2609
shyvana;Shyvana;47.76;13.87;8.53;2609
singed;Singed;51.14;6.8;1.11;2609
sion;Sion;49.38;12.0;1.17;2609
sivir;Sivir;47.22;7.6;2.75;2609
skarner;Skarner;48.93;3.11;0.21;2609
smolder;Smolder;45.71;44.95;16.97;2609
sona;Sona;42.17;7.6;0.49;2609
soraka;Soraka;42.72;11.05;2.64;2609
swain;Swain;45.36;10.56;2.22;2609
sylas;Sylas;47.89;27.76;11.85;2609
syndra;Syndra;44.21;9.18;2.71;2609
tahmkench;Tahm Kench;47.57;8.57;1.84;2609
taliyah;Taliyah;48.7;5.18;0.43;2609
talon;Talon;45.88;17.02;8.43;2609
taric;Taric;45.55;2.31;0.17;2609
teemo;Teemo;48.51;13.0;5.12;2609
thresh;Thresh;42.01;25.29;7.47;2609
tristana;Tristana;44.5;7.72;1.06;2609
trundle;Trundle;48.76;3.4;0.25;2609
tryndamere;Tryndamere;48.04;6.75;1.87;2609
twistedfate;Twisted Fate;46.24;10.94;1.02;2609
twitch;Twitch;45.6;10.32;6.26;2609
udyr;Udyr;46.85;5.93;1.07;2609
urgot;Urgot;46.6;5.21;0.77;2609
varus;Varus;44.68;13.47;3.92;2609
vayne;Vayne;47.92;23.26;13.33;2609
veigar;Veigar;48.57;9.31;1.07;2609
velkoz;Vel'Koz;46.29;9.22;1.2;2609
vex;Vex;46.84;5.31;3.21;2609
vi;Vi;47.0;10.32;1.37;2609
viego;Viego;47.42;19.14;8.61;2609
viktor;Viktor;42.71;18.84;5.29;2609
vladimir;Vladimir;46.08;14.9;5.82;2609
volibear;Volibear;46.5;9.73;2.31;2609
warwick;Warwick;50.04;8.55;1.72;2609
wukong;Wukong;48.85;5.66;0.48;2609
xayah;Xayah;44.6;6.37;0.59;2609
xerath;Xerath;46.27;19.48;8.11;2609
xinzhao;Xin Zhao;47.94;22.59;6.76;2609
yasuo;Yasuo;46.16;22.89;17.71;2609
yone;Yone;45.94;21.35;4.49;2609
yorick;Yorick;45.32;7.87;6.75;2609
yunara;Yunara;45.24;11.78;2.11;2609
yuumi;Yuumi;32.96;10.51;7.32;2609
zaahen;Zaahen;46.22;6.31;3.0;2609
zac;Zac;48.43;6.42;1.16;2609
zed;Zed;49.64;27.26;31.2;2609
zeri;Zeri;45.18;5.36;0.34;2609
ziggs;Ziggs;41.71;5.06;0.48;2609
zilean;Zilean;46.64;6.83;1.49;2609
zoe;Zoe;43.36;8.57;5.89;2609
zyra;Zyra;49.06;8.19;2.52;2609
aatrox;Aatrox;46.57;14.78;8.21;2610
ahri;Ahri;47.14;21.71;4.3;2610
akali;Akali;39.42;18.96;18.4;2610
akshan;Akshan;45.18;6.06;2.92;2610
alistar;Alistar;43.64;6.87;1.36;2610
ambessa;Ambessa;45.19;12.56;10.38;2610
amumu;Amumu;41.52;4.58;0.97;2610
anivia;Anivia;43.51;10.43;4.58;2610
annie;Annie;44.68;7.08;0.79;2610
aphelios;Aphelios;45.37;8.72;1.54;2610
ashe;Ashe;42.11;31.58;8.08;2610
aurelionsol;Aurelion Sol;48.92;6.03;0.81;2610
aurora;Aurora;44.48;7.95;2.29;2610
azir;Azir;37.23;3.56;0.3;2610
bard;Bard;41.84;14.23;3.66;2610
belveth;Bel'Veth;45.95;3.99;3.06;2610
blitzcrank;Blitzcrank;38.26;10.04;10.58;2610
brand;Brand;50.39;18.74;7.77;2610
braum;Braum;44.26;9.66;6.49;2610
briar;Briar;46.51;10.35;8.63;2610
caitlyn;Caitlyn;40.59;32.98;21.39;2610
camille;Camille;48.11;8.58;0.96;2610
cassiopeia;Cassiopeia;47.93;5.7;1.42;2610
chogath;Cho'Gath;49.05;6.94;0.61;2610
corki;Corki;43.46;4.42;0.37;2610
darius;Darius;46.85;14.8;13.04;2610
diana;Diana;48.48;13.8;4.03;2610
draven;Draven;43.89;9.44;13.4;2610
drmundo;Dr. Mundo;46.54;7.54;2.94;2610
ekko;Ekko;49.35;13.51;1.73;2610
elise;Elise;49.13;6.55;1.56;2610
evelynn;Evelynn;44.76;5.73;2.62;2610
ezreal;Ezreal;42.03;38.04;8.38;2610
fiddlesticks;Fiddlesticks;50.54;6.43;1.48;2610
fiora;Fiora;50.5;6.65;5.18;2610
fizz;Fizz;49.26;12.8;6.52;2610
galio;Galio;45.41;8.96;1.48;2610
gangplank;Gangplank;42.83;11.52;5.12;2610
garen;Garen;43.24;15.6;6.45;2610
gnar;Gnar;43.84;7.33;1.18;2610
gragas;Gragas;48.58;7.78;0.71;2610
graves;Graves;43.59;24.23;15.6;2610
gwen;Gwen;50.22;6.27;2.93;2610
hecarim;Hecarim;35.56;8.64;3.56;2610
heimerdinger;Heimerdinger;49.22;2.74;1.17;2610
hwei;Hwei;48.37;9.5;1.61;2610
illaoi;Illaoi;42.31;4.95;3.6;2610
irelia;Irelia;46.09;13.77;14.1;2610
ivern;Ivern;48.62;3.45;0.44;2610
janna;Janna;42.45;7.66;0.72;2610
jarvaniv;Jarvan IV;48.13;15.58;1.62;2610
jax;Jax;46.27;13.82;11.64;2610
jayce;Jayce;46.91;15.21;5.5;2610
jhin;Jhin;44.87;29.77;1.12;2610
jinx;Jinx;44.37;23.34;2.15;2610
kaisa;Kai'Sa;44.73;23.11;1.47;2610
kalista;Kalista;44.54;3.17;0.23;2610
karma;Karma;45.46;20.85;7.75;2610
karthus;Karthus;49.38;5.75;1.54;2610
kassadin;Kassadin;39.99;5.11;2.55;2610
katarina;Katarina;48.83;16.48;11.11;2610
kayle;Kayle;49.64;7.36;3.29;2610
kayn;Kayn;45.01;16.42;4.67;2610
